recall	precision
0.00275482	1.00000000
0.00550964	1.00000000
0.00550964	1.00000000
0.00826446	1.00000000
0.00826446	1.00000000
0.01101928	1.00000000
0.01377410	1.00000000
0.01652893	1.00000000
0.01652893	1.00000000
0.01928375	1.00000000
0.01928375	1.00000000
0.01928375	1.00000000
0.01928375	1.00000000
0.02203857	1.00000000
0.02479339	1.00000000
0.02754821	0.83333333
0.02754821	0.90909091
0.02754821	1.00000000
0.03030303	0.84615385
0.03305785	0.85714286
0.03581267	0.86666667
0.04132231	0.88235294
0.04132231	0.88235294
0.04132231	0.88235294
0.04132231	0.88235294
0.04407713	0.76190476
0.04407713	0.76190476
0.04407713	0.84210526
0.04958678	0.75000000
0.06060606	0.75862069
0.06060606	0.78571429
0.06336088	0.71875000
0.06336088	0.76666667
0.06611570	0.70588235
0.06887052	0.71428571
0.07438017	0.69230769
0.07438017	0.72972973
0.07713499	0.65116279
0.08539945	0.67391304
0.08815427	0.66666667
0.09366391	0.66666667
0.10743802	0.68421053
0.11019284	0.65573770
0.11294766	0.64062500
0.11845730	0.61428571
0.12121212	0.61111111
0.12947658	0.58024691
0.14049587	0.58620690
0.15702479	0.58163265
0.17906336	0.58558559
0.19559229	0.58677686
0.21212121	0.59230769
0.22589532	0.57746479
0.23415978	0.55194805
0.25068871	0.54491018
0.26997245	0.54444444
0.28374656	0.53926702
0.30027548	0.51173709
0.31955923	0.48739496
0.34159780	0.48249027
0.35537190	0.47426471
0.37741047	0.46283784
0.39118457	0.44514107
0.42148760	0.43714286
0.44628099	0.41968912
0.47933884	0.41330166
0.49586777	0.39130435
0.52341598	0.37924152
0.55096419	0.36764706
0.57300275	0.34957983
0.60055096	0.33641975
0.63085399	0.32390382
0.64738292	0.30880420
0.66666667	0.29086538
0.69146006	0.28170595
0.72727273	0.27300931
0.74104683	0.25766284
0.78512397	0.24761077
0.79338843	0.22412451
0.81818182	0.19946273
0.83746556	0.18870267
0.84022039	0.17920094
0.85950413	0.16720257
1.00000000	0.16582915
