recall	precision
0.00502513	1.00000000
0.01005025	1.00000000
0.01005025	1.00000000
0.01507538	1.00000000
0.01507538	1.00000000
0.02010050	1.00000000
0.02512563	1.00000000
0.03015075	1.00000000
0.03015075	1.00000000
0.03517588	1.00000000
0.03517588	1.00000000
0.03517588	1.00000000
0.03517588	1.00000000
0.03517588	1.00000000
0.03517588	1.00000000
0.03517588	1.00000000
0.03517588	1.00000000
0.04020101	1.00000000
0.04020101	1.00000000
0.04020101	1.00000000
0.04020101	1.00000000
0.04020101	1.00000000
0.04020101	1.00000000
0.04020101	1.00000000
0.04020101	1.00000000
0.05025126	1.00000000
0.05025126	1.00000000
0.05025126	1.00000000
0.05527638	1.00000000
0.06532663	1.00000000
0.07035176	1.00000000
0.07537688	1.00000000
0.07537688	1.00000000
0.07537688	1.00000000
0.08040201	1.00000000
0.08040201	1.00000000
0.08040201	1.00000000
0.08040201	1.00000000
0.08040201	1.00000000
0.08040201	1.00000000
0.08542714	1.00000000
0.10552764	1.00000000
0.12060302	1.00000000
0.12060302	1.00000000
0.12060302	1.00000000
0.12060302	1.00000000
0.14070352	1.00000000
0.14070352	1.00000000
0.14572864	1.00000000
0.15075377	1.00000000
0.16080402	1.00000000
0.16080402	1.00000000
0.18090452	1.00000000
0.18592965	1.00000000
0.18592965	1.00000000
0.19597990	1.00000000
0.21105528	1.00000000
0.23618090	1.00000000
0.24120603	1.00000000
0.26130653	1.00000000
0.26633166	1.00000000
0.28643216	1.00000000
0.29648241	1.00000000
0.32663317	1.00000000
0.36683417	1.00000000
0.40201005	1.00000000
0.44221106	1.00000000
0.47236181	1.00000000
0.50251256	1.00000000
0.53266332	1.00000000
0.55778894	1.00000000
0.61306533	1.00000000
0.63316583	1.00000000
0.67336683	1.00000000
0.69346734	1.00000000
0.73366834	1.00000000
0.78391960	1.00000000
0.89447236	1.00000000
0.95979899	1.00000000
0.98492462	1.00000000
0.99497487	1.00000000
0.99497487	1.00000000
0.99497487	1.00000000
1.00000000	1.00000000
